127.0.0.1 - - [26/Aug/2023:07:01:35 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Aug/2023:07:01:36 +0530] "GET /TPMS/index.html HTTP/1.1" 200 8415
0:0:0:0:0:0:0:1 - - [26/Aug/2023:07:01:36 +0530] "GET /TPMS/index.css HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [26/Aug/2023:07:01:36 +0530] "GET /js/index.js HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [26/Aug/2023:07:01:36 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [26/Aug/2023:07:02:08 +0530] "GET /js/index.js HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [26/Aug/2023:07:02:08 +0530] "GET /TPMS/index.css HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [26/Aug/2023:07:03:04 +0530] "GET /TPMS/index.css HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [26/Aug/2023:07:03:04 +0530] "GET /js/index.js HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [26/Aug/2023:07:03:54 +0530] "GET /TPMS/index.html HTTP/1.1" 200 8419
0:0:0:0:0:0:0:1 - - [26/Aug/2023:07:03:54 +0530] "GET /TPMS/css/index.css HTTP/1.1" 200 1121
0:0:0:0:0:0:0:1 - - [26/Aug/2023:07:03:54 +0530] "GET /js/index.js HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [26/Aug/2023:07:03:54 +0530] "GET /TPMS/css/backround.jpg HTTP/1.1" 200 159744
